"","recipient_country_code","total_entries","total_spent","geolocation_entries","exactness_entries","geolocation_percentage","exactness_percentage"
"118","AL",7589,16659739637.2046,5759,3108,0.758861510080379,0.409540123863487
"119","BZ",4128,794919097.797704,1751,3214,0.424176356589147,0.77858527131783
"120","CL",3257,7215817525.40251,3010,1558,0.92416334049739,0.478354313785692
"121","PA",14500,23227605115.5386,6014,12764,0.414758620689655,0.880275862068965
"122","XK",5394,1456529818.14416,3295,3132,0.610863922877271,0.580645161290323
"123","LC",823,1317280766.78937,810,218,0.984204131227218,0.264884568651276
"124","IR",2190,8584332567.21012,2152,905,0.982648401826484,0.41324200913242
"125","BG",2138,32114371760.441,2000,734,0.935453695042095,0.343311506080449
"126","KN",283,67810998.52355,48,269,0.169611307420495,0.950530035335689
"127","EE",173,957184995.813068,138,88,0.797687861271676,0.508670520231214
"128","MK",9226,16570497087.6094,7439,2947,0.806308259267288,0.319423368740516
"129","TO",1852,508762206.178419,1532,443,0.827213822894168,0.239200863930886
"130","TT",3985,2926496430.44817,3090,3702,0.775407779171895,0.928983688833124
"131","GY",11862,4553811921.15493,9805,10765,0.82658910807621,0.907519811161693
"132","CR",7728,27259488892.9017,3708,5734,0.479813664596273,0.741977225672878
"133","DM",440,294574519.447978,411,186,0.934090909090909,0.422727272727273
